Country,Type,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,g1971,g1972,g1973,g1974,g1975,g1976,g1977,g1978,g1979,g1980,g1981,g1982,g1983,g1984,g1985,g1986,g1987,g1988,g1989,g1990,g1991,g1992,g1993,g1994,g1995,g1996,g1997,g1998,g1999,g2000,g2001,g2002,g2003,g2004,g2005,g2006,g2007,g2008,g2009,g2010,g2011,g2012,g2013,g2014,g2015,g2016,g2017,g2018,g2019,g2020,g2021,g2022,g2023,g2024,g2025,g2026,g2027,g2028,g2029,g2030,g2031,g2032,g2033
World,G,4889.41,5016.62,5184.82,5414.49,5426.24,5369.39,5552.75,5684.66,5815.75,5971.42,5990.22,5994.02,5922.34,5974.27,6145.93,6257.07,6361.01,6481.71,6662.50,6777.44,6859.13,6844.00,6874.09,6892.43,7016.30,7132.03,7281.94,7463.98,7573.45,7720.79,7963.09,8025.51,8107.34,8256.36,8529.40,8774.67,9063.89,9355.44,9428.05,9192.80,9487.43,9691.85,9842.13,10005.29,10194.36,10389.29,10544.35,10773.50,10985.27,11141.03,10678.36,11223.88,11463.87,11635.98,11836.47,12076.66,12331.28,12582.26,12827.04,13076.62,13319.03,13552.87,13792.09,14036.84,2.60,3.35,4.43,.22,-1.05,3.41,2.38,2.31,2.68,.31,.06,-1.20,.88,2.87,1.81,1.66,1.90,2.79,1.73,1.21,-.22,.44,.27,1.80,1.65,2.10,2.50,1.47,1.95,3.14,.78,1.02,1.84,3.31,2.88,3.30,3.22,.78,-2.50,3.21,2.15,1.55,1.66,1.89,1.91,1.49,2.17,1.97,1.42,-4.15,5.11,2.14,1.50,1.72,2.03,2.11,2.04,1.95,1.95,1.85,1.76,1.77,1.77
World less USA,G,3686.43,3801.98,3930.13,4114.50,4163.01,4131.70,4267.94,4359.70,4434.17,4572.36,4622.80,4612.93,4595.23,4602.29,4688.88,4761.01,4837.45,4931.21,5074.13,5156.79,5238.92,5255.01,5249.08,5243.45,5322.04,5416.91,5525.32,5651.45,5697.97,5775.52,5963.80,6034.65,6107.98,6224.82,6448.20,6647.74,6909.10,7197.57,7308.31,7156.31,7430.24,7633.42,7762.23,7914.28,8075.87,8230.80,8381.85,8590.41,8760.05,8886.22,8504.04,8939.79,9158.15,9313.99,9513.46,9733.24,9953.20,10172.68,10393.65,10621.53,10841.57,11055.12,11274.16,11498.86,3.13,3.37,4.69,1.18,-.75,3.30,2.15,1.71,3.12,1.10,-.21,-.38,.15,1.88,1.54,1.61,1.94,2.90,1.63,1.59,.31,-.11,-.11,1.50,1.78,2.00,2.28,.82,1.36,3.26,1.19,1.22,1.91,3.59,3.09,3.93,4.18,1.54,-2.08,3.83,2.73,1.69,1.96,2.04,1.92,1.84,2.49,1.97,1.44,-4.30,5.12,2.44,1.70,2.14,2.31,2.26,2.21,2.17,2.19,2.07,1.97,1.98,1.99
United States and Canada,G,24855.69,25336.81,26361.31,27593.63,27257.30,26956.92,28136.39,29111.47,30358.72,30991.41,30605.29,31090.62,30198.07,31244.34,33180.90,34272.70,35095.21,35988.03,37144.79,38076.03,38270.20,37670.61,38382.85,38916.37,40001.09,40587.68,41569.95,42907.53,44273.81,45836.93,47235.75,47255.75,47694.88,48675.81,50071.41,51415.07,52429.52,53097.96,52561.76,50747.96,51621.48,52085.00,52824.55,53420.66,54368.54,55470.30,55827.44,56728.91,58025.67,59045.78,57058.13,60209.14,61070.95,61700.78,62066.62,62871.74,63983.80,65038.99,65934.30,66776.41,67624.28,68425.87,69236.96,70057.67,1.94,4.04,4.67,-1.22,-1.10,4.38,3.47,4.28,2.08,-1.25,1.59,-2.87,3.46,6.20,3.29,2.40,2.54,3.21,2.51,.51,-1.57,1.89,1.39,2.79,1.47,2.42,3.22,3.18,3.53,3.05,.04,.93,2.06,2.87,2.68,1.97,1.27,-1.01,-3.45,1.72,.90,1.42,1.13,1.77,2.03,.64,1.61,2.29,1.76,-3.37,5.52,1.43,1.03,.59,1.30,1.77,1.65,1.38,1.28,1.27,1.19,1.19,1.19
Canada,C,19421.17,19938.85,20793.76,21944.36,22351.91,22351.67,23355.40,23875.25,24507.63,25165.25,25376.96,25935.15,24807.75,25198.71,26432.65,27428.96,27736.96,28490.59,29365.35,29514.06,29125.13,28185.61,28013.94,28353.64,29246.69,29670.70,29813.93,30803.47,31409.88,32372.39,33659.36,33830.93,34696.49,35738.30,36853.45,38389.00,39641.24,41938.08,41869.61,40151.09,40902.18,41704.30,41948.85,42426.23,43202.25,43100.50,43131.90,44103.19,44612.29,44979.06,42357.31,44135.96,45289.52,45596.32,46015.93,46574.06,47178.19,47740.39,48309.86,48838.10,49323.57,49862.89,50408.11,50959.30,2.67,4.29,5.53,1.86,.00,4.49,2.23,2.65,2.68,.84,2.20,-4.35,1.58,4.90,3.77,1.12,2.72,3.07,.51,-1.32,-3.23,-.61,1.21,3.15,1.45,.48,3.32,1.97,3.06,3.98,.51,2.56,3.00,3.12,4.17,3.26,5.79,-.16,-4.10,1.87,1.96,.59,1.14,1.83,-.24,.07,2.25,1.15,.82,-5.83,4.20,2.61,.68,.92,1.21,1.30,1.19,1.19,1.09,.99,1.09,1.09,1.09
United States,C,25435.15,25911.68,26954.14,28196.61,27783.26,27452.99,28653.20,29678.46,30991.96,31621.25,31171.16,31650.05,30784.46,31902.62,33916.37,35018.89,35898.16,36809.59,38000.52,39025.80,39288.33,38724.84,39536.70,40092.99,41199.89,41804.94,42880.26,44252.93,45698.53,47324.11,48732.13,48733.90,49124.80,50097.93,51522.05,52842.82,53829.90,54320.75,53735.88,51915.62,52806.88,53237.90,54037.63,54652.84,55623.53,56862.72,57258.41,58155.75,59546.30,60646.37,58738.37,62055.29,62884.13,63552.23,63912.87,64747.21,65918.36,67032.29,67965.14,68843.42,69733.05,70564.85,71406.58,72258.35,1.87,4.02,4.61,-1.47,-1.19,4.37,3.58,4.43,2.03,-1.42,1.54,-2.73,3.63,6.31,3.25,2.51,2.54,3.24,2.70,.67,-1.43,2.10,1.41,2.76,1.47,2.57,3.20,3.27,3.56,2.98,.00,.80,1.98,2.84,2.56,1.87,.91,-1.08,-3.39,1.72,.82,1.50,1.14,1.78,2.23,.70,1.57,2.39,1.85,-3.15,5.65,1.34,1.06,.57,1.31,1.81,1.69,1.39,1.29,1.29,1.19,1.19,1.19
Latin America,G,4251.42,4436.45,4642.37,4897.58,5115.86,5179.34,5333.50,5469.15,5554.25,5832.50,6091.60,6006.89,5858.16,5615.11,5708.58,5772.96,5884.23,5956.85,5877.45,5873.28,5766.76,5844.63,5890.71,6026.34,6233.44,6187.24,6336.77,6568.34,6643.25,6589.91,6733.94,6677.56,6624.59,6703.25,6989.03,7179.29,7454.76,7757.78,7954.58,7706.01,8116.90,8387.03,8508.09,8663.15,8693.12,8654.36,8562.78,8640.65,8686.89,8669.93,8029.03,8530.31,8789.27,8888.22,9026.40,9212.37,9416.52,9619.60,9834.26,10056.71,10289.25,10524.60,10765.47,11011.99,4.35,4.64,5.50,4.46,1.24,2.98,2.54,1.56,5.01,4.44,-1.39,-2.48,-4.15,1.66,1.13,1.93,1.23,-1.33,-.07,-1.81,1.35,.79,2.30,3.44,-.74,2.42,3.65,1.14,-.80,2.19,-.84,-.79,1.19,4.26,2.72,3.84,4.06,2.54,-3.12,5.33,3.33,1.44,1.82,.35,-.45,-1.06,.91,.54,-.20,-7.39,6.24,3.04,1.13,1.55,2.06,2.22,2.16,2.23,2.26,2.31,2.29,2.29,2.29
Mexico,C,5158.53,5192.09,5461.01,5729.33,5899.83,6078.84,6190.07,6245.37,6644.69,7122.23,7606.64,8068.23,7842.66,7394.67,7474.82,7473.08,7090.49,7063.21,7010.23,7160.61,7395.18,7567.57,7691.68,7697.98,7937.13,7312.69,7680.10,8074.41,8362.54,8476.19,8778.65,8626.43,8509.81,8518.79,8736.05,8824.79,9106.97,9194.46,9173.21,8566.16,8875.50,9070.23,9272.52,9277.93,9421.67,9615.54,9780.52,9872.68,9969.97,9845.84,8984.01,9393.25,9636.71,9814.52,9943.96,10093.76,10231.14,10373.24,10517.31,10663.38,10811.49,10972.37,11135.65,11301.36,.65,5.18,4.91,2.98,3.03,1.83,.89,6.39,7.19,6.80,6.07,-2.80,-5.71,1.08,-.02,-5.12,-.38,-.75,2.15,3.28,2.33,1.64,.08,3.11,-7.87,5.02,5.13,3.57,1.36,3.57,-1.73,-1.35,.11,2.55,1.02,3.20,.96,-.23,-6.62,3.61,2.19,2.23,.06,1.55,2.06,1.72,.94,.99,-1.25,-8.75,4.56,2.59,1.85,1.32,1.51,1.36,1.39,1.39,1.39,1.39,1.49,1.49,1.49
Other Caribbean Central America,G,3297.05,3424.75,3568.88,3673.04,3796.36,3799.78,3911.21,4103.00,4244.22,4296.34,4304.68,4385.90,4343.93,4289.79,4387.99,4357.18,4372.33,4406.12,4425.70,4473.20,4369.77,4267.27,4278.40,4267.28,4307.30,4409.65,4487.28,4614.42,4742.93,4885.83,5001.85,5100.34,5151.73,5199.70,5405.59,5540.14,5766.38,5956.37,6031.02,5912.77,6026.45,6142.83,6256.09,6347.03,6436.89,6577.26,6647.45,6720.00,6778.73,6861.83,6259.70,6633.58,6863.83,7013.83,7147.14,7304.10,7463.24,7626.00,7791.17,7958.24,8132.19,8300.80,8473.04,8648.99,3.87,4.21,2.92,3.36,.09,2.93,4.90,3.44,1.23,.19,1.89,-.96,-1.25,2.29,-.70,.35,.77,.44,1.07,-2.31,-2.35,.26,-.26,.94,2.38,1.76,2.83,2.79,3.01,2.37,1.97,1.01,.93,3.96,2.49,4.08,3.29,1.25,-1.96,1.92,1.93,1.84,1.45,1.42,2.18,1.07,1.09,.87,1.23,-8.77,5.97,3.47,2.19,1.90,2.20,2.18,2.18,2.17,2.14,2.19,2.07,2.07,2.08
Antigua and Barbuda,C,,,,,,,,5044.93,5268.31,5701.37,6164.26,6425.86,6444.63,7037.43,7891.07,8503.75,9480.56,10106.27,10631.65,11197.35,11574.67,11851.94,11776.59,12183.45,12774.60,11999.86,12546.83,12974.37,13340.29,13604.09,14257.29,13306.74,13235.85,13836.86,14425.00,15145.26,16852.00,18173.60,17932.32,15556.85,14192.56,13735.67,14018.08,13757.97,14102.02,14460.74,15069.10,15354.03,16289.38,16842.91,13730.58,14459.03,15500.78,15669.09,15941.40,16170.29,16407.38,16650.81,16914.58,17182.54,17437.72,17714.24,17995.14,18280.49,,,,,,,,4.43,8.22,8.12,4.24,.29,9.20,12.13,7.76,11.49,6.60,5.20,5.32,3.37,2.40,-.64,3.45,4.85,-6.06,4.56,3.41,2.82,1.98,4.80,-6.67,-.53,4.54,4.25,4.99,11.27,7.84,-1.33,-13.25,-8.77,-3.22,2.06,-1.86,2.50,2.54,4.21,1.89,6.09,3.40,-18.48,5.31,7.20,1.09,1.74,1.44,1.47,1.48,1.58,1.58,1.49,1.59,1.59,1.59
Bahamas,C,28594.26,28409.34,26783.61,28232.17,23056.87,19265.69,19832.84,21183.54,23707.13,29229.33,30592.14,27289.90,28624.25,29153.33,32727.52,33769.61,33896.82,34453.66,34771.06,36566.29,35412.75,33362.68,31548.55,31142.33,31649.20,32578.10,33486.82,33715.95,34867.24,36915.07,37999.70,38575.11,39221.09,38357.13,38338.24,39286.72,39928.31,40145.87,38858.37,36893.91,37114.79,36998.30,37794.19,36350.92,36299.73,36205.82,36065.29,35765.23,36002.13,36327.62,27433.65,30929.70,33126.68,34258.50,34981.34,35529.67,35925.92,36318.36,36679.01,37006.83,37337.91,37671.94,38008.96,38349.01,-.65,-5.72,5.41,-18.33,-16.44,2.94,6.81,11.91,23.29,4.66,-10.79,4.89,1.85,12.26,3.18,.38,1.64,.92,5.16,-3.15,-5.79,-5.44,-1.29,1.63,2.93,2.79,.68,3.41,5.87,2.94,1.51,1.67,-2.20,-.05,2.47,1.63,.54,-3.21,-5.06,.60,-.31,2.15,-3.82,-.14,-.26,-.39,-.83,.66,.90,-24.48,12.74,7.10,3.42,2.11,1.57,1.12,1.09,.99,.89,.89,.89,.89,.89
